sHomeName,sAwayName,iHomeGoals,iAwayGoals,sRegularPP,sCalendar,sMatchInfo,sStadium,sSpectators,dDate,iSpectators,sHome,sAway
HC ‘05 iClinic Banská Bystrica,MHk 32 Liptovský Mikuláš,4,5,sn," Piatok 14.09.2018, 17:30"," 1. kolo, Číslo zápasu 1", ZŠ Banská Bystrica, 2356 divákov,9/14/2018 17:30,2356,BB,LM
HK DUKLA Trenčín,HK Poprad,4,2,," Piatok 14.09.2018, 18:00"," 1. kolo, Číslo zápasu 2"," ZŠ Pavla Demitru, Trenčín", 4186 divákov,9/14/2018 18:00,4186,TN,PP
MAC Újbuda ,MHC MIKRON Nové Zámky ,1,7,," Piatok 14.09.2018, 19:00"," 1. kolo, Číslo zápasu 3"," Ice rink MAC Budapest, HUN", 920 divákov,9/14/2018 19:00,920,BU,NZ
HK Nitra,DVTK Jegesmedvék Miskolc,6,1,," Piatok 14.09.2018, 18:00"," 1. kolo, Číslo zápasu 4", Nitra Aréna, 2758 divákov,9/14/2018 18:00,2758,NR,MI
MsHK DOXXbet Žilina,HC 07 Detva ,4,5,," Piatok 14.09.2018, 17:30"," 1. kolo, Číslo zápasu 5", ZŠ Žilina, 475 divákov,9/14/2018 17:30,475,ZI,DT
HC Košice,HKM Zvolen,5,2,," Piatok 14.09.2018, 17:30"," 1. kolo, Číslo zápasu 6", STEEL Arena Košice, 3960 divákov,9/14/2018 17:30,3960,KE,ZV
HKM Zvolen,MHk 32 Liptovský Mikuláš,6,3,," Utorok 09.10.2018, 18:00"," 2. kolo, Číslo zápasu 7", ZŠ Zvolen, 1260 divákov,10/9/2018 18:00,1260,ZV,LM
HC 07 Detva ,HC Košice,1,4,," Nedeľa 16.09.2018, 17:30"," 2. kolo, Číslo zápasu 8", ZŠ Detva, 555 divákov,9/16/2018 17:30,555,DT,KE
DVTK Jegesmedvék Miskolc,MsHK DOXXbet Žilina,6,2,," Nedeľa 16.09.2018, 17:30"," 2. kolo, Číslo zápasu 9"," Ice rink Miskolc, HUN", 1310 divákov,9/16/2018 17:30,1310,MI,ZI
MHC MIKRON Nové Zámky ,HK Nitra,4,0,," Nedeľa 16.09.2018, 16:00"," 2. kolo, Číslo zápasu 10", ZŠ Nové Zámky, 1569 divákov,9/16/2018 16:00,1569,NZ,NR
HK Poprad,MAC Újbuda ,3,1,," Nedeľa 16.09.2018, 17:00"," 2. kolo, Číslo zápasu 11", ZŠ Poprad, 1628 divákov,9/16/2018 17:00,1628,PP,BU
HC ‘05 iClinic Banská Bystrica,HK DUKLA Trenčín,2,1,," Nedeľa 16.09.2018, 16:00"," 2. kolo, Číslo zápasu 12", ZŠ Banská Bystrica, 2401 divákov,9/16/2018 16:00,2401,BB,TN
HK DUKLA Trenčín,MHk 32 Liptovský Mikuláš,3,2,pp," Utorok 18.09.2018, 18:00"," 3. kolo, Číslo zápasu 13"," ZŠ Pavla Demitru, Trenčín", 3072 divákov,9/18/2018 18:00,3072,TN,LM
MAC Újbuda ,HC ‘05 iClinic Banská Bystrica,4,0,," Utorok 18.09.2018, 19:00"," 3. kolo, Číslo zápasu 14"," Ice rink MAC Budapest, HUN", 470 divákov,9/18/2018 19:00,470,BU,BB
